,clouds,fog_bool,humidity,hurricane_bool,lat,lon,pres,rain,rain_bool,snow,snow_bool,status,storm_bool,sun_bool,temp,time,tornado_bool,visibility,wind_deg,wind_speed
68,8,False,55,False,40.94805,-115.63303,818.63,0.0,False,0,False,clear sky,False,True,-0.32,2016-10-10 09:00:00+00,False,,232.5,1.11
69,8,False,55,False,40.98489,-115.43421,818.63,0.0,False,0,False,clear sky,False,True,-0.32,2016-10-10 09:00:00+00,False,,232.5,1.11
70,8,False,55,False,41.07218,-115.29349,818.63,0.0,False,0,False,clear sky,False,True,-0.32,2016-10-10 09:00:00+00,False,,232.5,1.11
71,0,False,49,False,41.10688,-115.00959,819.76,0.0,False,0,False,clear sky,False,True,0.18,2016-10-10 09:00:00+00,False,,231.5,2.21
72,0,False,49,False,41.10504,-114.75491,819.76,0.0,False,0,False,clear sky,False,True,0.18,2016-10-10 09:00:00+00,False,,231.5,2.21
73,0,False,49,False,41.07774,-114.57918,819.76,0.0,False,0,False,clear sky,False,True,0.18,2016-10-10 09:00:00+00,False,,231.5,2.21
74,0,False,78,False,40.94491,-114.36444,863.7,0.0,False,0,False,clear sky,False,True,1.73,2016-10-10 09:00:00+00,False,,277.0,1.11
75,0,False,78,False,40.83099,-114.19839,863.7,0.0,False,0,False,clear sky,False,True,1.73,2016-10-10 09:00:00+00,False,,277.0,1.11
76,0,False,78,False,40.74094,-114.062,863.7,0.0,False,0,False,clear sky,False,True,1.73,2016-10-10 09:00:00+00,False,,277.0,1.11
77,0,False,78,False,40.73711,-113.78224,863.7,0.0,False,0,False,clear sky,False,True,1.73,2016-10-10 09:00:00+00,False,,277.0,1.11
78,0,False,82,False,40.72572,-113.19683,880.97,0.0,False,0,False,clear sky,False,True,4.13,2016-10-10 09:00:00+00,False,,188.0,0.61
79,0,False,99,False,40.7811,-112.81512,872.45,0.0,False,0,False,clear sky,False,True,5.43,2016-10-10 09:00:00+00,False,,174.0,2.01
80,0,False,99,False,40.67884,-112.41474,872.45,0.0,False,0,False,clear sky,False,True,5.43,2016-10-10 09:00:00+00,False,,174.0,2.01
81,0,False,96,False,40.70654,-112.25393,867.91,0.0,False,0,False,clear sky,False,True,11.11,2016-10-10 09:00:00+00,False,,146.5,5.41
82,0,False,96,False,40.77087,-112.05936,867.91,0.0,False,0,False,clear sky,False,True,11.11,2016-10-10 09:00:00+00,False,,146.5,5.41
83,0,False,96,False,40.75588,-111.9123,867.91,0.0,False,0,False,clear sky,False,True,11.11,2016-10-10 09:00:00+00,False,,146.5,5.41
84,0,False,96,False,40.71863,-111.87114,867.91,0.0,False,0,False,clear sky,False,True,11.11,2016-10-10 09:00:00+00,False,,146.5,5.41
85,0,False,73,False,40.7187,-111.78261,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
86,0,False,73,False,40.74833,-111.72169,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
87,0,False,73,False,40.74218,-111.66166,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
88,0,False,73,False,40.75263,-111.59384,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
89,0,False,73,False,40.72221,-111.51768,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
90,0,False,73,False,40.77109,-111.4696,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
91,0,False,73,False,40.80858,-111.41542,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
92,0,False,73,False,40.89643,-111.39505,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
93,0,False,73,False,40.95353,-111.42287,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
94,0,False,73,False,41.00159,-111.38829,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
95,0,False,73,False,41.03711,-111.32988,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
96,0,False,73,False,41.07784,-111.24987,815.54,0.0,False,0,False,clear sky,False,True,4.11,2016-10-10 15:00:00+00,False,,150.003,0.97
97,8,False,43,False,41.12343,-111.17736,797.71,0.0,False,0,False,clear sky,False,True,4.71,2016-10-10 15:00:00+00,False,,203.003,3.77
98,8,False,43,False,41.19811,-111.11118,797.71,0.0,False,0,False,clear sky,False,True,4.71,2016-10-10 15:00:00+00,False,,203.003,3.77
99,8,False,43,False,41.2513,-111.0057,797.71,0.0,False,0,False,clear sky,False,True,4.71,2016-10-10 15:00:00+00,False,,203.003,3.77
100,8,False,43,False,41.26689,-110.92564,797.71,0.0,False,0,False,clear sky,False,True,4.71,2016-10-10 15:00:00+00,False,,203.003,3.77
101,0,False,60,False,41.30316,-110.75733,801.36,0.0,False,0,False,clear sky,False,True,6.06,2016-10-10 15:00:00+00,False,,216.003,6.47
102,0,False,60,False,41.29728,-110.55851,801.36,0.0,False,0,False,clear sky,False,True,6.06,2016-10-10 15:00:00+00,False,,216.003,6.47
